Timestamp,Attention,Status,Head Direction,Eyes Open,Blink Count,Blink Rate
2026-08-08 16:28:40,62,Slightly Distracted,Left,True,41,26.8
2026-08-08 16:28:41,65,Slightly Distracted,Left,True,41,26.5
2026-08-08 16:28:42,72,Attentive,Left,True,41,26.2
2026-08-08 16:28:43,65,Slightly Distracted,Left,True,41,25.9
2026-08-08 16:28:44,65,Slightly Distracted,Left,True,41,25.6
2026-08-08 16:28:45,95,Highly Attentive,Forward,True,41,25.3
2026-08-08 16:28:46,100,Highly Attentive,Forward,True,41,25.1
2026-08-08 16:28:47,100,Highly Attentive,Forward,True,41,24.8
2026-08-08 16:28:48,86,Highly Attentive,Forward,True,41,24.6
2026-08-08 16:28:49,85,Highly Attentive,Forward,True,41,24.3
2026-08-08 16:28:50,85,Highly Attentive,Forward,True,41,24.1
2026-08-08 16:28:51,89,Highly Attentive,Forward,True,42,24.4
2026-08-08 16:28:52,72,Attentive,Left,True,43,24.7
2026-08-08 16:28:53,87,Highly Attentive,Forward,True,43,24.5
2026-08-08 16:28:54,97,Highly Attentive,Forward,False,44,24.8
2026-08-08 16:28:55,99,Highly Attentive,Forward,True,44,24.6
2026-08-08 16:28:56,99,Highly Attentive,Forward,True,44,24.4
2026-08-08 16:28:57,100,Highly Attentive,Forward,True,44,24.1
2026-08-08 16:28:58,97,Highly Attentive,Forward,True,45,24.5
2026-08-08 16:28:59,98,Highly Attentive,Forward,True,46,24.8
2026-08-08 16:29:01,99,Highly Attentive,Forward,True,47,25.1
2026-08-08 16:29:02,100,Highly Attentive,Forward,True,47,24.9
2026-08-08 16:29:03,98,Highly Attentive,Forward,True,48,25.2
2026-08-08 16:29:04,100,Highly Attentive,Forward,True,48,24.9
2026-08-08 16:29:05,100,Highly Attentive,Forward,True,48,24.7
2026-08-08 16:29:06,100,Highly Attentive,Forward,True,48,24.5
2026-08-08 16:29:07,100,Highly Attentive,Forward,True,48,24.3
2026-08-08 16:29:08,100,Highly Attentive,Forward,True,48,24.1
2026-08-08 16:29:09,98,Highly Attentive,Forward,True,49,24.4
2026-08-08 16:29:10,96,Highly Attentive,Forward,True,50,24.7
2026-08-08 16:29:11,86,Highly Attentive,Forward,True,50,24.5
2026-08-08 16:29:12,78,Attentive,Forward,True,50,24.3
2026-08-08 16:29:13,71,Attentive,Up,False,50,24.1
2026-08-08 16:29:14,84,Attentive,Down,True,51,24.4
2026-08-08 16:29:15,65,Slightly Distracted,Left,True,51,24.2
